Index,# Nodes,# Edged,Degree (min),Degree (max),Degree (avg),ACC,Assort.,APL,Diameter
20x2+5x2.net,50.0,404.0,4.0,22.0,16.16,0.9716,0.9186,2.3878,4.0
256_4_4_2_15_18_p.net,256.0,2274.0,15.0,23.0,17.7656,0.7331,0.0286,2.7821,5.0
256_4_4_4_13_18_p.net,256.0,2299.0,10.0,25.0,17.9609,0.5113,0.0007,2.6511,4.0
BA1000.net,1000.0,3990.0,4.0,115.0,7.98,0.0354,-0.0542,3.1833,5.0
ER1000k8.net,1000.0,3956.0,1.0,17.0,7.912,0.008,-0.0168,3.5698,6.0
ER5000k8.net,5000.0,19980.0,4.0,17.0,7.9918,0.0014,-0.0555,4.3797,6.0
PGP.net,10680.0,24316.0,1.0,205.0,4.5536,0.2659,0.2382,7.4855,24.0
SF_1000_g2.5.net,1000.0,1905.0,2.0,30.0,3.81,0.0096,0.02,4.6149,10.0
SF_1000_g2.7.net,1000.0,1668.0,2.0,24.0,3.336,0.0067,-0.002,5.4688,12.0
SF_1000_g3.0.net,1000.0,1517.0,2.0,26.0,3.034,0.0052,-0.0085,5.9651,13.0
SF_500_g2.7.net,500.0,859.0,2.0,22.0,3.436,0.0078,-0.0256,4.8759,12.0
airports_UW.net,3618.0,14142.0,1.0,250.0,7.8176,0.4957,0.0462,4.4396,17.0
circle9.net,9.0,9.0,2.0,2.0,2.0,0.0,NaN,2.5,4.0
dolphins.net,62.0,159.0,1.0,12.0,5.129,0.259,-0.0436,3.357,8.0
graph3+1+3.net,7.0,8.0,2.0,3.0,2.2857,0.6667,-0.6,2.1905,4.0
graph4+4.net,8.0,13.0,3.0,4.0,3.25,0.875,-0.0833,1.8571,3.0
grid-p-6x6.net,36.0,72.0,4.0,4.0,4.0,0.0,NaN,3.0857,6.0
homorand_N1000_K4_0.net,1000.0,2000.0,4.0,4.0,4.0,0.002,NaN,5.64,9.0
homorand_N1000_K6_0.net,1000.0,2994.0,5.0,6.0,5.988,0.0038,0.1919,4.1913,6.0
rb125.net,125.0,410.0,4.0,100.0,6.56,0.8373,-0.173,2.3032,4.0
rb25.net,25.0,66.0,4.0,20.0,5.28,0.9023,-0.1635,2.0333,4.0
star.net,9.0,8.0,1.0,8.0,1.7778,0.0,-1.0,1.7778,2.0
wheel.net,9.0,16.0,3.0,8.0,3.5556,0.6243,-0.3333,1.5556,2.0
ws1000.net,1000.0,3000.0,3.0,13.0,6.0,0.0044,-0.0999,4.0913,6.0
ws2000.net,2000.0,6000.0,3.0,13.0,6.0,0.0033,-0.0762,4.5111,7.0
zachary_unwh.net,34.0,78.0,1.0,17.0,4.5882,0.5706,-0.4756,2.4082,5.0
